Results - based on chains 2 & 3 only as evidence of non-convergence with chain 1
30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[3,92]	0.1646	0.1759	0.001962	0.1134	0.3434	210000
	S[3,93]	0.1631	0.1762	0.002449	0.1112	0.3341	210000
	S[3,94]	0.1616	0.1764	0.00253	0.1091	0.3345	210000
	S[3,95]	0.1601	0.1767	0.002329	0.107	0.333	210000
	S[3,96]	0.1586	0.1769	0.002475	0.105	0.3326	210000
	S[3,97]	0.1572	0.1772	0.00238	0.1031	0.3337	210000
	S[3,98]	0.1558	0.1774	0.002282	0.101	0.3309	210000
	S[3,99]	0.1544	0.1776	0.00276	0.09909	0.3311	210000
	S[3,100]	0.153	0.1779	0.002034	0.09722	0.328	210000
	S[3,101]	0.1517	0.1781	0.002212	0.09547	0.323	210000
	S[3,102]	0.1504	0.1783	0.002012	0.09365	0.3171	210000
	S[3,103]	0.1491	0.1785	0.002731	0.09184	0.3166	210000
	S[3,104]	0.1479	0.1787	0.001986	0.09015	0.3169	210000
	S[3,105]	0.1467	0.179	0.002354	0.08846	0.3198	210000
	S[3,106]	0.1455	0.1792	0.002036	0.08681	0.32	210000
	S[3,107]	0.1443	0.1794	0.002532	0.08515	0.3172	210000
